Taxon_ID,MartDatasets,Scientific_name,OrgDb,Common_name,kegg,Reference_Taxon_ID,Reference_Scientific_name,Ensembl_name,Ensembl_division,Ensembl_release,Assembly,Genome_URL,GTF_URL,Pep_URL,Reference_status,MartDatasets_status
230844,pmbairdii_gene_ensembl,Peromyscus maniculatus bairdii,org.PmaniculatusBairdii.eg.db,Northern_American_deer_mouse,pmav,230844,Peromyscus maniculatus bairdii,peromyscus_maniculatus_bairdii,EnsemblMain,116,HU_Pman_2.1,https://ftp.ensembl.org/pub/release-116/fasta/peromyscus_maniculatus_bairdii/dna/Peromyscus_maniculatus_bairdii.HU_Pman_2.1.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/peromyscus_maniculatus_bairdii/Peromyscus_maniculatus_bairdii.HU_Pman_2.1.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/peromyscus_maniculatus_bairdii/pep/Peromyscus_maniculatus_bairdii.HU_Pman_2.1.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
7757,pmarinus_gene_ensembl,Petromyzon marinus,org.Pmarinus.eg.db,Sea_lamprey,pmrn,7757,Petromyzon marinus,petromyzon_marinus,EnsemblMain,116,Pmarinus_7.0,https://ftp.ensembl.org/pub/release-116/fasta/petromyzon_marinus/dna/Petromyzon_marinus.Pmarinus_7.0.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/petromyzon_marinus/Petromyzon_marinus.Pmarinus_7.0.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/petromyzon_marinus/pep/Petromyzon_marinus.Pmarinus_7.0.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
38626,pcinereus_gene_ensembl,Phascolarctos cinereus,org.Pcinereus.eg.db,Koala,pcw,38626,Phascolarctos cinereus,phascolarctos_cinereus,EnsemblMain,116,phaCin_unsw_v4.1,https://ftp.ensembl.org/pub/release-116/fasta/phascolarctos_cinereus/dna/Phascolarctos_cinereus.phaCin_unsw_v4.1.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/phascolarctos_cinereus/Phascolarctos_cinereus.phaCin_unsw_v4.1.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/phascolarctos_cinereus/pep/Phascolarctos_cinereus.phaCin_unsw_v4.1.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
42100,psinus_gene_ensembl,Phocoena sinus,org.Psinus.eg.db,Vaquita,psiu,42100,Phocoena sinus,phocoena_sinus,EnsemblMain,116,mPhoSin1.pri,https://ftp.ensembl.org/pub/release-116/fasta/phocoena_sinus/dna/Phocoena_sinus.mPhoSin1.pri.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/phocoena_sinus/Phocoena_sinus.mPhoSin1.pri.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/phocoena_sinus/pep/Phocoena_sinus.mPhoSin1.pri.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
9755,pcatodon_gene_ensembl,Physeter catodon,org.Pcatodon.eg.db,Sperm_whale,pcad,9755,Physeter catodon,physeter_catodon,EnsemblMain,116,ASM283717v2,https://ftp.ensembl.org/pub/release-116/fasta/physeter_catodon/dna/Physeter_catodon.ASM283717v2.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/physeter_catodon/Physeter_catodon.ASM283717v2.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/physeter_catodon/pep/Physeter_catodon.ASM283717v2.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
64176,pmuralis_gene_ensembl,Podarcis muralis,org.Pmuralis.eg.db,Common_wall_lizard,pmua,64176,Podarcis muralis,podarcis_muralis,EnsemblMain,116,PodMur_1.0,https://ftp.ensembl.org/pub/release-116/fasta/podarcis_muralis/dna/Podarcis_muralis.PodMur_1.0.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/podarcis_muralis/Podarcis_muralis.PodMur_1.0.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/podarcis_muralis/pep/Podarcis_muralis.PodMur_1.0.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
48698,pformosa_gene_ensembl,Poecilia formosa,org.Pformosa.eg.db,Amazon_molly,pfor,48698,Poecilia formosa,poecilia_formosa,EnsemblMain,116,PoeFor_5.1.2,https://ftp.ensembl.org/pub/release-116/fasta/poecilia_formosa/dna/Poecilia_formosa.PoeFor_5.1.2.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/poecilia_formosa/Poecilia_formosa.PoeFor_5.1.2.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/poecilia_formosa/pep/Poecilia_formosa.PoeFor_5.1.2.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
48699,platipinna_gene_ensembl,Poecilia latipinna,org.Platipinna.eg.db,Sailfin_molly,plai,48699,Poecilia latipinna,poecilia_latipinna,EnsemblMain,116,P_latipinna-1.0,https://ftp.ensembl.org/pub/release-116/fasta/poecilia_latipinna/dna/Poecilia_latipinna.P_latipinna-1.0.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/poecilia_latipinna/Poecilia_latipinna.P_latipinna-1.0.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/poecilia_latipinna/pep/Poecilia_latipinna.P_latipinna-1.0.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
8081,preticulata_gene_ensembl,Poecilia reticulata,org.Preticulata.eg.db,Guppy,pret,8081,Poecilia reticulata,poecilia_reticulata,EnsemblMain,116,Guppy_female_1.0_MT,https://ftp.ensembl.org/pub/release-116/fasta/poecilia_reticulata/dna/Poecilia_reticulata.Guppy_female_1.0_MT.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/poecilia_reticulata/Poecilia_reticulata.Guppy_female_1.0_MT.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/poecilia_reticulata/pep/Poecilia_reticulata.Guppy_female_1.0_MT.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
9601,pabelii_gene_ensembl,Pongo abelii,org.Pabelii.eg.db,Sumatran_orangutan,pon,9601,Pongo abelii,pongo_abelii,EnsemblMain,116,Susie_PABv2,https://ftp.ensembl.org/pub/release-116/fasta/pongo_abelii/dna/Pongo_abelii.Susie_PABv2.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/pongo_abelii/Pongo_abelii.Susie_PABv2.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/pongo_abelii/pep/Pongo_abelii.Susie_PABv2.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
