"","MOR01_LIVER_RAW","MOR02_LIVER_RAW","MOR03_LIVER_RAW","MOR04_LIVER_RAW","MOR13_LIVER_RAW","MOR14_LIVER_RAW","MOR01_TEL_RAW","MOR02_TEL_RAW","MOR03_TEL_RAW","MOR04_TEL_RAW","MOR13_TEL_RAW","MOR14_TEL_RAW"
"Methanofollis aquaemaris",-4.74853319525648,-4.74853319525648,3.97724067104823,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Plasmodium relictum",-4.74853319525648,-4.74853319525648,-4.74853319525648,7.95373881210449,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Trichomonas vaginalis",-4.74853319525648,-4.74853319525648,-4.74853319525648,5.11394834294842,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Klebsiella pneumoniae",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,10.3800853986668,-4.74853319525648,-4.74853319525648,-4.74853319525648,9.89896259728772,-4.74853319525648,8.45492832542488
"Sphaerotilus sulfidivorans",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.89974923083054,-4.74853319525648,-4.74853319525648
"Kwoniella bestiolae",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,3.64267034757057,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.20287045420064,-4.74853319525648,-4.74853319525648
"Xanthomonas phage vB_XooS_NR08",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,5.38684351930267,-4.74853319525648,-4.74853319525648
"Gorganvirus isfahan",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.80316171794732,-4.74853319525648,-4.74853319525648
"Streptomyces nigra",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,3.64267034757057,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Vibrio parahaemolyticus",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,8.26168648112154,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,7.3289012437042,-4.74853319525648
"uncultured Acetobacteroides sp.",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,2.50859755239412,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Kwoniella botswanensis",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,5.44388532697456,7.10734337983475,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.68216362647526,3.30615442966584
"Kwoniella dejecticola",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.33453396056717,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,2.58881397785784
"Kwoniella mangrovensis",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.22477241248609,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.26240640361424
"Cryptococcus bacillisporus",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,3.86383790764758,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Cryptococcus gattii",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.16805163021999,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.39197604469552,-4.74853319525648
"Podospora pseudocomata",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,3.97649335131415,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Brettanomyces bruxellensis",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.34110239510797,4.35844231532545,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.28202376470426,3.44951415603914
"Zygotorulaspora mrakii",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,3.00998903595214,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
