"Name","MOR01_LIVER_RAW","MOR02_LIVER_RAW","MOR03_LIVER_RAW","MOR04_LIVER_RAW","MOR13_LIVER_RAW","MOR14_LIVER_RAW","MOR01_TEL_RAW","MOR02_TEL_RAW","MOR03_TEL_RAW","MOR04_TEL_RAW","MOR13_TEL_RAW","MOR14_TEL_RAW","baseMean.Liver_vs_Telencephalon","log2FoldChange.Liver_vs_Telencephalon","lfcSE.Liver_vs_Telencephalon","stat.Liver_vs_Telencephalon","pvalue.Liver_vs_Telencephalon","padj.Liver_vs_Telencephalon","MOR01_LIVER_RAW.norm","MOR02_LIVER_RAW.norm","MOR03_LIVER_RAW.norm","MOR04_LIVER_RAW.norm","MOR13_LIVER_RAW.norm","MOR14_LIVER_RAW.norm","MOR01_TEL_RAW.norm","MOR02_TEL_RAW.norm","MOR03_TEL_RAW.norm","MOR04_TEL_RAW.norm","MOR13_TEL_RAW.norm","MOR14_TEL_RAW.norm","MOR01_LIVER_RAW.normtrans","MOR02_LIVER_RAW.normtrans","MOR03_LIVER_RAW.normtrans","MOR04_LIVER_RAW.normtrans","MOR13_LIVER_RAW.normtrans","MOR14_LIVER_RAW.normtrans","MOR01_TEL_RAW.normtrans","MOR02_TEL_RAW.normtrans","MOR03_TEL_RAW.normtrans","MOR04_TEL_RAW.normtrans","MOR13_TEL_RAW.normtrans","MOR14_TEL_RAW.normtrans"
"Halotia branconii",0,0,131,0,0,0,0,0,0,0,0,0,13.1631976760205,25.7524753325243,3.07212357043731,8.38263004142719,5.17579604891127e-17,3.21638754468058e-16,0,0,157.958372112246,0,0,0,0,0,0,0,0,0,-4.74853319525648,-4.74853319525648,7.30407988833934,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Hemiselmis andersenii",0,0,95,0,0,0,0,0,0,0,0,0,9.54583037574007,24.973227821468,3.07304797906642,8.1265336537488,4.41740898383676e-16,2.26067400937528e-15,0,0,114.549964508881,0,0,0,0,0,0,0,0,0,-4.74853319525648,-4.74853319525648,6.84076978641171,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Hydrocarboniphaga effusa",0,0,188,0,0,0,0,741,0,0,0,0,35.9266072756611,6.87309484912455,2.98880513087424,2.29961290487819,0.0214701603245271,0.0533686842352531,0,0,226.688350817575,0,0,0,0,204.430936490359,0,0,0,0,-4.74853319525648,-4.74853319525648,7.82503983307911,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,7.67599463969509,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Klebsiella pneumoniae",0,0,0,0,0,2282,0,0,0,480,0,1358,219.839309984513,-9.45115268179097,2.98794729345295,-3.16309216782367,0.0015610290152159,0.00502998238236235,0,0,0,0,0,1332.57854247753,0,0,0,954.664610022353,0,350.828567314274,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,10.3800853986668,-4.74853319525648,-4.74853319525648,-4.74853319525648,9.89896259728772,-4.74853319525648,8.45492832542488
"Kwoniella bestiolae",0,0,0,0,42,0,0,0,0,37,0,0,7.16701414902776,-3.93395714873398,2.98832532442242,-1.3164420609039,0.188025712981331,0.282038569471997,0,0,0,0,12.4154394324433,0,0,0,0,73.5887303558897,0,0,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,3.64267034757057,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.20287045420064,-4.74853319525648,-4.74853319525648
"Kwoniella botswanensis",0,0,0,0,147,236,0,0,0,0,54,38,18.0568399619783,0.760273722342175,2.75520155177362,0.275941236260106,0.782593201041479,0.824391202808361,0,0,0,0,43.4540380135517,137.812680115993,0,0,0,0,25.5983617397155,9.81699967447895,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,5.44388532697456,7.10734337983475,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.68216362647526,3.30615442966584
"Kwoniella mangrovensis",0,0,0,0,63,0,0,0,0,0,0,74,3.14503952535244,-1.31956427573917,2.99567527310574,-0.440489757880575,0.659582428727214,0.755048306569311,0,0,0,0,18.623159148665,0,0,0,0,0,0,19.1173151555643,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.22477241248609,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.26240640361424
"Malassezia japonica",0,0,45,150,0,0,0,890,0,0,0,0,39.8778449299836,4.7168901870884,3.00438639890795,1.57000117854445,0.11641483709482,0.194770977447103,0,0,54.2605095042067,178.735797703614,0,0,0,245.537831951983,0,0,0,0,-4.74853319525648,-4.74853319525648,5.76380685608187,7.48228515284891,-4.74853319525648,-4.74853319525648,-4.74853319525648,7.94023857427926,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Malassezia restricta",0,0,492,0,0,0,0,389,0,0,0,0,58.3806318144434,8.50969387635926,2.990224962669,2.84583734755652,0.00442948137124293,0.0124311251386495,0,0,593.248237245994,0,0,0,0,107.319344527327,0,0,0,0,-4.74853319525648,-4.74853319525648,9.21267301415426,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.74676599242702,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Marasmius oreades",0,0,18,150,53,47,33,32,0,0,32,27,30.3130184784647,1.05738538428401,2.20652840299223,0.479207692432198,0.631790882342217,0.749264866512747,0,0,21.7042038016827,178.735797703614,15.6671021409404,27.4457456163207,89.2304097766503,8.82832654209376,0,0,15.169399549461,6.97523661081399,-4.74853319525648,-4.74853319525648,4.44483542283543,7.48228515284891,3.97649335131415,4.78241361754106,6.48066573960404,3.15422222210631,-4.74853319525648,-4.74853319525648,3.93014214486755,2.81750893239592
